timestep,western_temp,eastern_temp,dmi,phase
0,27.158745,25.163681,1.9950638,Positive
24,27.192488,25.609587,1.582901,Positive
48,27.331991,25.92347,1.4085217,Positive
72,27.500502,26.139015,1.3614864,Positive
96,27.733528,26.423565,1.3099632,Positive
120,27.732788,26.674093,1.0586948,Positive
144,27.742283,26.803782,0.93850136,Positive
168,27.703949,26.871828,0.8321209,Positive
192,27.686592,26.814657,0.8719349,Positive
216,27.473116,26.857016,0.6161003,Positive
240,27.387094,26.922527,0.46456718,Neutral
264,27.372574,26.83697,0.5356045,Positive
288,27.43015,26.92755,0.5025997,Positive
312,27.377369,27.050135,0.32723427,Neutral
336,27.304344,26.886013,0.41833115,Neutral
360,27.307463,26.530775,0.7766876,Positive
384,27.309868,26.31246,0.9974079,Positive
408,27.280554,26.076405,1.2041492,Positive
432,27.258373,25.696344,1.5620289,Positive
456,27.221361,25.473537,1.7478237,Positive
480,27.267752,25.349756,1.9179955,Positive
504,27.321793,25.297964,2.0238285,Positive
528,27.268461,25.272911,1.9955502,Positive
552,27.239124,25.291462,1.9476624,Positive
576,27.259542,25.298805,1.9607372,Positive
600,27.336172,25.294071,2.042101,Positive
624,27.408384,25.34649,2.0618935,Positive
648,27.507023,25.370548,2.1364746,Positive
672,27.580976,25.423616,2.15736,Positive
696,27.576239,25.470013,2.106226,Positive
720,27.556892,25.456676,2.100216,Positive
744,27.597996,25.39367,2.2043266,Positive
768,27.65605,25.385643,2.2704067,Positive
792,27.656855,25.38498,2.2718754,Positive
816,27.501997,25.344944,2.157053,Positive
840,27.414015,25.330843,2.0831718,Positive
864,27.38384,25.366396,2.0174446,Positive
888,27.400486,25.323847,2.0766392,Positive
912,27.489788,25.321396,2.1683922,Positive
936,27.536879,25.475697,2.061182,Positive
960,27.581606,25.644743,1.936863,Positive
984,27.620813,25.70554,1.9152737,Positive
1008,27.700964,25.63285,2.0681133,Positive
1032,27.72508,25.755411,1.9696693,Positive
1056,27.794544,25.759932,2.0346127,Positive
1080,27.748602,25.770603,1.9779987,Positive
1104,27.704891,25.710846,1.9940453,Positive
1128,27.906267,25.686512,2.2197552,Positive
1152,28.044436,25.674105,2.3703308,Positive
1176,27.957623,25.640642,2.3169804,Positive
1200,21.037361,19.36388,1.673481,Positive
