timestep,western_temp,eastern_temp,dmi,phase
0,19.276255,20.840324,-1.5640697,Negative
168,19.57448,21.253685,-1.679205,Negative
336,19.465614,21.161114,-1.6954994,Negative
504,19.475842,21.143118,-1.6672764,Negative
672,19.51461,21.267889,-1.7532787,Negative
840,19.567364,21.225798,-1.6584339,Negative
1008,19.716219,21.251741,-1.5355225,Negative
1176,19.879047,21.18561,-1.3065624,Negative
1344,19.83274,21.412907,-1.5801659,Negative
1512,20.028921,21.613962,-1.585041,Negative
1680,20.05391,21.627533,-1.5736237,Negative
1848,19.88799,21.842094,-1.9541035,Negative
2016,20.107327,21.634996,-1.5276699,Negative
2184,20.019598,21.654827,-1.6352291,Negative
2352,20.03085,21.662926,-1.6320763,Negative
2520,19.986597,21.633991,-1.6473942,Negative
2688,19.896563,21.458395,-1.5618324,Negative
2856,19.563251,21.31924,-1.7559891,Negative
3024,19.292109,21.056684,-1.764576,Negative
3192,19.029945,20.957651,-1.9277058,Negative
3360,18.852697,20.907568,-2.0548706,Negative
3528,18.616844,20.944479,-2.3276348,Negative
3696,18.415653,20.896444,-2.480791,Negative
3864,18.197264,20.798845,-2.6015816,Negative
4032,18.046926,20.80949,-2.7625637,Negative
4200,17.9174,20.701357,-2.7839565,Negative
4368,17.877728,20.54208,-2.6643524,Negative
4536,17.797375,20.395432,-2.5980568,Negative
4704,17.73312,20.356958,-2.6238384,Negative
4872,17.7227,20.344631,-2.621931,Negative
5040,17.744644,20.403519,-2.6588745,Negative
5208,17.691172,20.303059,-2.611887,Negative
5376,17.714235,20.23176,-2.5175247,Negative
5544,17.816835,20.247566,-2.4307308,Negative
5712,17.86018,20.27281,-2.41263,Negative
5880,17.8827,20.422003,-2.5393028,Negative
6048,18.154112,20.40042,-2.2463074,Negative
6216,18.08736,20.610332,-2.522972,Negative
6384,18.228153,20.764868,-2.5367146,Negative
6552,18.362387,20.719063,-2.356676,Negative
6720,18.72633,20.745924,-2.0195942,Negative
6888,18.839237,20.804474,-1.9652367,Negative
7056,18.884,20.845852,-1.9618511,Negative
7224,19.1293,20.895979,-1.7666798,Negative
7392,18.93331,21.199265,-2.265955,Negative
7560,19.169249,21.273426,-2.1041775,Negative
7728,19.498411,21.31733,-1.8189182,Negative
7896,19.932652,21.380058,-1.4474068,Negative
8064,19.745304,21.34219,-1.5968857,Negative
8232,20.140633,21.422037,-1.2814045,Negative
8400,20.304777,21.518267,-1.2134895,Negative
8568,20.536762,21.646233,-1.1094704,Negative
8736,20.53279,21.68398,-1.1511917,Negative
8904,20.491457,21.501276,-1.009819,Negative
9072,20.682037,21.77305,-1.091013,Negative
9240,20.954498,21.854738,-0.90023994,Negative
9408,20.900318,21.912374,-1.0120564,Negative
9576,21.005692,21.84574,-0.84004784,Negative
9744,20.940449,21.93248,-0.9920311,Negative
9912,21.175549,21.997208,-0.8216591,Negative
10080,21.293985,22.031351,-0.7373657,Negative
10248,21.226986,22.120613,-0.89362717,Negative
